chembl_id,canonical_smiles,MW,LogP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,AromaticRings,AliphaticRings,HeteroAtoms,BalabanJ,BertzCT,HallKierAlpha,lipinski_pass,lipinski_violations,veber_pass
CHEMBL1165404,Cc1ccc(NC(=O)Nc2ccc(Oc3ccc(-c4nccs4)cc3)cc2)cc1,401.49100000000004,6.554820000000004,63.25,2,4,5,29,4,0,6,1.3364236450562534,1044.6135866204108,-3.6399999999999983,True,1,True
CHEMBL1165423,CN(C)CCN(C)C(=O)c1ccc2c(c1)/C(=C1/Nc3ccccc3C1=O)C(=O)N2,390.4430000000001,2.2917999999999994,81.75,2,5,4,29,2,2,7,1.70343356722478,1041.4580362424838,-3.4499999999999997,True,0,True
CHEMBL1076393,COc1ccc(C[C@@H]2NC(=O)CNC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc4ccc(O)cc4)NC2=O)C(=O)N[C@@H](Cc2c[nH]c4ccccc24)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@H](C(=O)O)CSSC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]2CCC(=O)N2)C(C)C)C(=O)N3)cc1,1631.9480000000003,-2.063500000000017,527.4099999999999,18,23,21,112,4,4,39,1.2113100772339878,3887.413202587792,-9.830000000000002,False,3,False
CHEMBL1092090,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc2c1/N=N/c1ccc(-c2ccc(/N=N/c3c(N)c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)ccc34)c(S(=O)(=O)O)c2)cc1,892.9060000000005,5.888700000000003,373.33000000000004,7,16,10,58,6,0,26,1.377017122271483,3283.303729287559,-5.81,False,4,False
CHEMBL503289,CCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3ccc(F)c(Cl)c3)ccc2o1,569.9760000000002,7.275000000000004,112.74000000000001,2,6,7,41,5,1,10,1.4154840200435652,1851.0836744249557,-5.02,False,2,True
CHEMBL1084191,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(C)C)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,1545.8500000000001,-2.885130000000008,569.4899999999999,19,19,47,110,2,2,36,1.485467876735333,3322.255078333359,-10.359999999999996,False,3,False
CHEMBL1091275,Cc1cccc(-c2nn(O)cc2C2CCNCC2)c1,257.337,2.5628200000000003,50.08,2,3,2,19,2,1,4,2.008016762575104,553.1673292348179,-1.8099999999999996,True,0,True
CHEMBL1165348,N/C(=N\O)c1cccc(CSCCNC(=O)c2c(Cl)cccc2Cl)c1,398.31500000000005,3.7511000000000028,87.71000000000001,3,4,7,25,2,0,8,1.794886494973432,726.133669398401,-1.8899999999999992,True,0,True
CHEMBL1206590,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O.C[C@]1(Cn2cc(C(=O)O)nn2)[C@H](C(=O)O)C2C(=O)CC2S1(=O)=O,668.7510000000002,0.22800000000000437,229.73,3,11,7,45,1,5,18,1.7802041497496713e-07,1483.9497811994934,-3.540000000000001,False,2,False
CHEMBL4116104,CCCC(CCC)C(=O)OC(Cn1ccnc1)c1ccccc1,314.42900000000003,4.384000000000004,44.120000000000005,0,3,9,23,2,0,4,2.114732370571811,540.9889508619358,-2.099999999999999,True,0,True
CHEMBL154997,[O-][S+](Cc1ccccc1-n1cccn1)c1nccn1-c1ccccn1,349.41900000000004,2.7608000000000006,71.59,0,4,5,25,4,0,7,1.6467497134700282,923.110758680172,-2.9,True,0,True
CHEMBL2094221,Cc1ccccc1CNC(=O)Cc1c(C)noc1C,258.32099999999997,2.4587600000000007,55.13,1,3,4,19,2,0,4,1.942110103476141,549.9742883554453,-2.0999999999999996,True,0,True
CHEMBL1076668,C[C@@H]1C(=O)O[C@H]2[C@@H]1O[C@]13O[C@@]4(CC[C@]5(C)C(=O)[C@](C)(O)[C@@]2(O)[C@H]15)C[C@]12OC(=O)C[C@H]1OC(C)(C)[C@@H]2[C@@H](O)C[C@H]4C3=O,576.5950000000003,-0.2875999999999983,175.11999999999998,3,12,0,41,0,8,12,1.34636075784652,1304.7712379549441,-1.9600000000000002,False,2,False
